playerID,yearID,R,AB,H,HR,RBI,BB,SO,BA,OBP,SLG,OPS
aaronha01,1968,84.0,591.0,177.66666666666666,38.333333333333336,108.33333333333333,66.33333333333333,91.33333333333333,0.30093916382997293,0.3680097229573118,0.5573180879229582,0.9253278108802702
aaronha01,1969,100.0,603.0,175.33333333333334,37.333333333333336,107.33333333333333,67.66666666666667,85.0,0.2908007815706944,0.3596209066053319,0.5368849919817853,0.8965058985871172
aaronha01,1970,103.0,584.3333333333334,174.0,37.333333333333336,97.33333333333333,71.33333333333333,68.66666666666667,0.29787085472715463,0.3728964036877402,0.5595433839544832,0.9324397876422235
aaronha01,1971,95.0,556.3333333333334,164.0,37.0,100.33333333333333,75.0,57.333333333333336,0.2951318366392993,0.37803227429446284,0.5596467431276099,0.9376790174220727
aaronha01,1972,75.0,519.3333333333334,160.0,43.0,111.0,77.33333333333333,56.0,0.3085131747731127,0.396889563691422,0.6164257543620666,1.0133153180534886
aaronha01,1973,84.0,486.6666666666667,145.0,39.666666666666664,104.33333333333333,79.0,58.666666666666664,0.29691858241607033,0.3948144770057305,0.5856022980796379,0.9804167750853686
aaronha01,1974,47.0,445.3333333333333,133.0,40.333333333333336,97.0,77.0,54.666666666666664,0.2977755143361252,0.4006595280120718,0.6086735420811143,1.0093330700931864
aaronha01,1975,45.0,393.6666666666667,109.33333333333333,31.333333333333332,80.66666666666667,66.33333333333333,45.0,0.27790029151972595,0.3776879230229049,0.5495034093815699,0.927191332404475
aaronha01,1976,22.0,399.0,106.0,24.0,75.0,59.0,43.666666666666664,0.2676920230457775,0.3584870692496613,0.4962907743742659,0.8547778436239272
aaronto01,1963,6.0,334.0,77.0,8.0,38.0,41.0,58.0,0.23053892215568864,0.31216931216931215,0.37425149700598803,0.6864208091753001
aaronto01,1968,21.0,234.5,52.0,4.5,26.5,26.0,42.5,0.21526946107784434,0.28446303446303445,0.32786648924373474,0.6123295237067692
aaronto01,1969,13.0,250.66666666666666,57.666666666666664,3.3333333333333335,26.0,24.333333333333332,40.666666666666664,0.22478505885754993,0.28800267871306123,0.3222290140305699,0.6102316927436311
aaronto01,1970,3.0,159.33333333333334,37.0,1.0,15.0,12.666666666666666,23.333333333333332,0.23127208480565373,0.29000684738389654,0.30858962613968505,0.5985964735235816
